rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,ticker,current_price,date,trade_time,record_time,gain_loss_currency,gain_loss_percent,previous_close,open,current_bid_price,current_bid_volume,current_ask_price,current_ask_volume,days_range_low,days_range_high,fiftytwo_week_range_low,fiftytwo_week_range_high,current_volume,avg_volume,market_cap,beta,eps,earnings_date,forward_dividend_and_yield_currency,forward_dividend_and_yield_percentage,ex_dividend_date,one_year_target_est,net_assets,nav,pe_ratio,yield_,ytd_return,beta_3y,expense_ratio_net,inception_date
1529674147105341911,,0,,1529674143,646666049,"""0""","""BAC""",29.2900009155,"""2018-06-22""","""At close","""06",0.0500000007451,0.170000001788,29.2399997711,29.2099990845,nan,nan,nan,nan,29.0,29.4500007629,22.7299995422,33.0499992371,68322592.0,68098520.0,2.96983003136e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,16.9899997711,nan,nan,nan,nan,''
1529674205361589908,,0,,1529674202,509419918,"""1""","""BAC""",29.4699993134,"""2018-06-22""","""As of  9","""06",0.180000007153,0.610000014305,29.2900009155,29.4599990845,nan,nan,nan,nan,29.4699993134,29.4699993134,22.7299995422,33.0499992371,241276.0,68098520.0,2.98807984128e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0900001526,nan,nan,nan,nan,''
1529674264293586015,,0,,1529674261,349946022,"""2""","""BAC""",29.4701004028,"""2018-06-22""","""As of  9","""06",0.180099993944,0.610000014305,29.2900009155,29.4599990845,nan,nan,nan,nan,29.4500007629,29.4899997711,22.7299995422,33.0499992371,1337774.0,68098520.0,2.98808999936e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.1000003815,nan,nan,nan,nan,''
1529674322912905931,,0,,1529674320,166028022,"""3""","""BAC""",29.4300003052,"""2018-06-22""","""As of  9","""06",0.140000000596,0.479999989271,29.2900009155,29.4599990845,nan,nan,nan,nan,29.4200000763,29.4899997711,22.7299995422,33.0499992371,1544757.0,68098520.0,2.98403004416e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0699996948,nan,nan,nan,nan,''
1529674441025969028,,0,,1529674437,816916942,"""5""","""BAC""",29.3600006104,"""2018-06-22""","""As of  9","""06",0.070000000298,0.239999994636,29.2900009155,29.4599990845,nan,nan,nan,nan,29.3199996948,29.4899997711,22.7299995422,33.0499992371,2108945.0,68098520.0,2.97692987392e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0300006866,nan,nan,nan,nan,''
1529674498558105945,,0,,1529674496,641897916,"""6""","""BAC""",29.3700008392,"""2018-06-22""","""As of  9","""06",0.0799999982119,0.270000010729,29.2900009155,29.4599990845,nan,nan,nan,nan,29.3199996948,29.4899997711,22.7299995422,33.0499992371,2265716.0,68098520.0,2.97794011136e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0400009155,nan,nan,nan,nan,''
1529674556243280887,,0,,1529674555,468108892,"""7""","""BAC""",29.4200000763,"""2018-06-22""","""As of  9","""06",0.129999995232,0.439999997616,29.2900009155,29.4599990845,nan,nan,nan,nan,29.3199996948,29.4899997711,22.7299995422,33.0499992371,2542418.0,68098520.0,2.98300997632e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0599994659,nan,nan,nan,nan,''
1529674615280541896,,0,,1529674614,291359901,"""8""","""BAC""",29.4349994659,"""2018-06-22""","""As of  9","""06",0.144999995828,0.5,29.2900009155,29.4599990845,nan,nan,nan,nan,29.3199996948,29.4899997711,22.7299995422,33.0499992371,2731650.0,68098520.0,2.98453008384e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0699996948,nan,nan,nan,nan,''
1529674676051419973,,0,,1529674673,111118078,"""9""","""BAC""",29.3700008392,"""2018-06-22""","""As of  9","""06",0.0799999982119,0.270000010729,29.2900009155,29.4599990845,nan,nan,nan,nan,29.3199996948,29.4899997711,22.7299995422,33.0499992371,2956434.0,68098520.0,2.97794011136e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0400009155,nan,nan,nan,nan,''
1529674734886514902,,0,,1529674731,937824010,"""10""","""BAC""",29.3509998322,"""2018-06-22""","""As of  9","""06",0.0610000006855,0.209999993443,29.2900009155,29.4599990845,nan,nan,nan,nan,29.3099994659,29.4899997711,22.7299995422,33.0499992371,3278104.0,68098520.0,2.9760700416e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0300006866,nan,nan,nan,nan,''
1529674792568927049,,0,,1529674790,757999897,"""11""","""BAC""",29.3600006104,"""2018-06-22""","""As of  9","""06",0.070000000298,0.239999994636,29.2900009155,29.4599990845,nan,nan,nan,nan,29.3099994659,29.4899997711,22.7299995422,33.0499992371,3499574.0,68098520.0,2.97692004352e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0300006866,nan,nan,nan,nan,''
1529674852621593952,,0,,1529674849,574843883,"""12""","""BAC""",29.3199996948,"""2018-06-22""","""As of  9","""06",0.0299999993294,0.109999999404,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2999992371,29.4899997711,22.7299995422,33.0499992371,3821091.0,68098520.0,2.97313009664e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0100002289,nan,nan,nan,nan,''
